ID_Patente;Data_Publicacao;Requerente;Titulo;Link_Espacenet;Aviso_Tecnologia;Curacao_Manual;Notas;CPCs;Family_ID
AU2019321375A1;20210311;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC;Hepatitis B virus (HBV) dsRNA agent compositions and methods of use thereof;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2019321375&KC=A1&FT=D;;;;A61K31/713, A61K45/06, A61K47/549, A61K47/56, A61P31/12, A61P31/20, C12N15/1131, C12N2310/11, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322;67766385
AU2019405783A1;20210701;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC, | Alnylam Pharmaceuticals, Inc;Amyloid precursor protein (APP) RNAi agent compositions and methods of use thereof;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2019405783&KC=A1&FT=D;;;;A61K31/713, A61K48/005, A61K9/0085, A61P25/28, C07K14/4711, C12N15/113, C12N2310/11, C12N2310/14, C12N2310/31, C12N2310/315, C12N2310/3183, C12N2310/321, C12N2310/322, C12N2310/3515, C12N2310/3521, C12N2310/3533, C12N2750/14143;71101909
JP2022002518A;20220111;ALNYLAM PHARMACEUTICALS INC | アルナイラム  ファーマシューティカルズ，  インコーポレイテッドＡＬＮＹＬＡＭ  ＰＨＡＲＭＡＣＥＵＴＩＣＡＬＳ，  ＩＮＣ．;ANGIOPOIETIN-LIKE 3 (ANGPTL3) iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=JP&NR=2022002518&KC=A&FT=D;;;;A61K31/713, A61K47/549, A61P3/06, C12N15/1136, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/34, C12N2310/344, C12N2310/346, C12N2310/351, C12N2310/3515, C12N2310/3521, C12N2310/3533, C12N2320/32, C12N2320/35, C12N2320/51;55806850
US2022042014A1;20220210;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;APOLIPOPROTEIN C3 (APOC3) iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2022042014&KC=A1&FT=D;;;;A61K31/713, A61P3/00, C12N15/113, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/351;74858822
EP4294409A1;20231227;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;FOLLICULIN IRNA COMPOSITIONS AND METHODS THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=EP&NR=4294409&KC=A1&FT=D;;;;A61K31/713, A61K45/06, C12N15/113, C12N2310/14, C12N2310/3125, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/343, C12N2310/351, C12N2320/11, C12N2320/32;82931811
JP2024037849A;20240319;ALNYLAM PHARMACEUTICALS INC | アルナイラム  ファーマシューティカルズ，  インコーポレイテッド;FACTOR XII (HAGEMAN FACTOR) (F12), KALLIKREIN B, PLASMA (FLETCHER FACTOR) 1 (KLKB1), AND KININOGEN 1 (KNG1) IRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=JP&NR=2024037849&KC=A&FT=D;;;;A61K31/713, A61K45/06, A61K47/549, A61P43/00, A61P7/02, A61P7/10, A61P9/00, A61P9/10, A61P9/12, C12N15/113, C12N15/1137, C12N2310/14, C12N2310/31, C12N2310/321, C12N2310/322, C12N2310/344, C12N2310/3521, C12N2310/3533, C12Q1/6883;55971215
US2024191236A1;20240613;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;ANGIOTENSINOGEN (AGT) iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2024191236&KC=A1&FT=D;;;;A61K31/7088, A61K31/713, A61P9/00, A61P9/12, C12N15/113, C12N15/1136, C12N2310/14, C12N2310/3125, C12N2310/315, C12N2310/32, C12N2310/321, C12N2310/322, C12N2310/343, C12N2310/351;66770566
IL313082A;20240701;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS INC;Transthyretin (ttr) irna compositions and methods of use thereof for treating or preventing ttr-associated diseases;https://worldwide.espacenet.com/publicationDetails/biblio?CC=IL&NR=313082&KC=A&FT=D;;;;A61K31/713, A61K48/00, A61P25/00, A61P25/02, A61P25/28, A61P43/00, A61P5/14, A61P7/00, A61P9/00, C12N15/113, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/344, C12N2310/351, C12N2310/3515, C12N2310/3533, C12N2320/30, C12Q1/6883, C12Q2600/158, C12Q2600/178, G01N2333/47, G01N2800/22, G01N2800/28, G01N2800/2814, G01N2800/32, G01N33/6893;56682264
EP4405484A2;20240731;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;MICROTUBULE ASSOCIATED PROTEIN TAU (MAPT) IRNA AGENT COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=EP&NR=4405484&KC=A2&FT=D;;;;A61K31/7088, A61K31/713, A61K48/005, A61P25/28, C12N15/113, C12N15/85, C12N2310/14, C12N2310/312, C12N2310/3125, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/345, C12N2310/346, C12N2310/351, C12N2310/3515, C12N2310/3521, C12N2310/3527, C12N2310/3533, C12N2320/11;85721285
IL313320A;20240801;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS INC;Tmprss6 irna compositions and methods of use thereof;https://worldwide.espacenet.com/publicationDetails/biblio?CC=IL&NR=313320&KC=A&FT=D;;;;A61K31/713, A61K48/00, A61P25/00, A61P25/14, A61P25/16, A61P25/18, A61P25/28, A61P3/00, A61P7/00, A61P7/06, C12N15/113, C12N15/1137, C12N15/1138, C12N2310/11, C12N2310/14, C12N2310/315, C12N2310/316, C12N2310/32, C12N2310/321, C12N2310/322, C12N2310/343, C12N2310/351, C12N2310/3521, C12N2310/3533, C12N2320/30, C12N9/6424;50943629
US2024271136A1;20240815;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;COMPLEMENT COMPONENT C5 iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2024271136&KC=A1&FT=D;;;;A61K31/7088, A61K31/713, A61K39/3955, A61K47/14, A61K48/00, A61P1/04, A61P11/06, A61P13/02, A61P13/12, A61P15/06, A61P17/02, A61P17/06, A61P19/02, A61P21/00, A61P21/04, A61P25/00, A61P25/28, A61P27/02, A61P29/00, A61P3/10, A61P31/04, A61P37/00, A61P37/06, A61P39/02, A61P5/14, A61P7/00, A61P7/02, A61P7/04, A61P7/06, A61P9/00, A61P9/08, A61P9/10, A61P9/12, A61P9/14, C07K16/18, C07K2317/24, C07K2317/76, C12N15/113, C12N2310/14, C12N2310/3125, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/351, C12N2310/3527, C12N2320/30;50678278
JP2024116226A;20240827;ALNYLAM PHARMACEUTICALS INC | アルナイラム  ファーマシューティカルズ，  インコーポレイテッド;COMPOSITIONS AND METHODS FOR INHIBITING EXPRESSION OF TRANSTHYRETIN;https://worldwide.espacenet.com/publicationDetails/biblio?CC=JP&NR=2024116226&KC=A&FT=D;;;;A61K31/7088, A61K31/713, A61K9/0019, A61K9/127, A61P1/00, A61P1/16, A61P13/12, A61P25/00, A61P25/28, A61P27/02, A61P35/00, A61P43/00, A61P5/14, A61P9/00, C07F9/6533, C07H21/02, C07H21/04, C12N15/111, C12N15/113, C12N2310/11, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/335, C12N2310/3515, C12N2310/3521, C12N2320/30, C12N2320/32;42062316
US2024309386A1;20240919;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;COMPOSITIONS AND METHODS FOR INHIBITING EXPRESSION OF TMPRSS6 GENE;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2024309386&KC=A1&FT=D;;;;A61K31/7105, A61K31/713, A61K48/00, A61K9/127, A61P3/00, A61P3/12, A61P43/00, A61P7/00, A61P7/06, C12N15/11, C12N15/1137, C12N15/1138, C12N15/63, C12N2310/14, C12N2310/315, C12N2310/316, C12N2310/32, C12N2310/321, C12N2310/344, C12N2310/346, C12N2310/351, C12N2320/30, C12N9/6424, C12Y304/21;46932295
AU2024219434A1;20240926;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC, | Alnylam Pharmaceuticals, Inc;Compositions and methods for inhibition of expression of apolipoprotein C-III (APOC3) genes;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2024219434&KC=A1&FT=D;;;;A61K31/713, A61P1/16, A61P3/06, A61P43/00, C12N15/113, C12N15/1137, C12N2310/14, C12N2310/314, C12N2310/315, C12N2310/321, C12N2310/344, C12N2310/3515, C12N2310/3521;47423221
US2025034570A1;20250130;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;STEROL REGULATORY ELEMENT BINDING PROTEIN (SREBP) CHAPERONE (SCAP) iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2025034570&KC=A1&FT=D;;;;A61K31/713, A61K47/549, A61K47/554, A61P1/16, A61P29/00, A61P3/06, C12N15/113, C12N2310/14, C12N2310/315, C12N2310/318, C12N2310/346, C12N2310/351, C12N2310/3515;57750612
EP4647079A2;20251112;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;HEPATITIS B VIRUS (HBV) IRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=EP&NR=4647079&KC=A2&FT=D;;;;A61K31/7088, A61K31/713, A61K45/06, A61P1/16, A61P31/02, A61P31/14, A61P31/20, A61P35/00, A61P43/00, C12N15/1131, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/335, C12N2310/3515, C12N2310/3521, C12N2310/3533;54542627
WO2025264965A2;20251226;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC;INTEGRIN LIGANDS FOR EXTRAHEPATIC DELIVERY;https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2025264965&KC=A2&FT=D;;;;A61K31/713, A61K47/545, C07D403/12, C07D471/04, C07D498/04, C07H19/00, C12N15/1138, C12N2310/14, C12N2310/343, C12N2310/3515, C12N2320/32;98214257
CN121285632A;20260106;ALNYLAM PHARMACEUTICALS INC | 阿尔尼拉姆医药品有限公司;Formulations for oligonucleotide delivery;https://worldwide.espacenet.com/publicationDetails/biblio?CC=CN&NR=121285632&KC=A&FT=D;;;;A61K31/713, A61K45/06, A61K47/02, A61K47/542, A61K9/0019, A61K9/0085, A61P25/28, C12N15/113, C12N2310/14, C12N2310/312, C12N2310/315, C12N2310/317, C12N2310/322, C12N2310/3515;93060283
CN121285631A;20260106;ALNYLAM PHARMACEUTICALS INC | 阿尔尼拉姆医药品有限公司;Mivibroccoli compositions and methods of use thereof;https://worldwide.espacenet.com/publicationDetails/biblio?CC=CN&NR=121285631&KC=A&FT=D;;;;A61K31/713, A61P25/28, C12N15/113, C12N2310/14, C12N2310/312, C12N2310/3125, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/3521, C12N2310/3533;93257297
AU2025259857A1;20260122;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC;Modified double stranded oligonucleotides;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2025259857&KC=A1&FT=D;;;;A61K31/713, C12N15/111, C12N15/113, C12N2310/11, C12N2310/14, C12N2310/315, C12N2310/343, C12N2310/344;70612465
AU2024322388A1;20260122;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC;METHODS AND COMPOSITIONS FOR TREATING CTNNB1-ASSOCIATED DISORDERS;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2024322388&KC=A1&FT=D;;;;A61K31/7115, A61K31/713, C12N15/113, C12N2310/14, C12N2310/315, C12N2310/3183, C12N2310/319, C12N2320/11, C12N2320/31, C12N2320/32, C12N2320/35;92456903
US20260028631A1;20260129;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;KETOHEXOKINASE (KHK) iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=20260028631&KC=A1&FT=D;;;;A61K31/713, A61K47/02, A61K47/549, A61P1/16, A61P13/12, A61P3/06, A61P3/10, C12N15/1137, C12N2310/14, C12N2310/3125, C12N2310/314, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/346, C12N2310/351, C12N2310/53, C12Y207/01003;80685505
US20260027146A1;20260129;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;COMPLEMENT COMPONENT C5 iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=20260027146&KC=A1&FT=D;;;;A61K2039/505, A61K31/7105, A61K31/713, A61K48/0066, A61K9/0019, C07K14/472, C07K16/18, C12N15/113, C12N2310/14, C12N2310/15, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/3515, Y02A50/30;56236115
US20260035702A1;20260205;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC;PLASMINOGEN (PLG) iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=20260035702&KC=A1&FT=D;;;;C12N15/113, C12N15/1137, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/346, C12N2310/351, C12N2310/3515, C12Y304/21007;98653352
EP4694931A1;20260218;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;EXTRAHEPATIC DELIVERY OF DOUBLE-STRANDED RNA AGENTS;https://worldwide.espacenet.com/publicationDetails/biblio?CC=EP&NR=4694931&KC=A1&FT=D;;;;A61K31/713, A61K47/542, A61P25/28, C12N15/111, C12N15/113;91029925
US20260048130A1;20260219;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;ALPHA-V BETA-6 (avb6) INTEGRIN LIGANDS FOR EXTRAHEPATIC DELIVERY;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=20260048130&KC=A1&FT=D;;;;A61K47/545, A61K47/55, A61K9/0019, A61K9/0043, A61K9/007, A61P25/28, C07D401/14, C07D403/14, C07D471/04, C07D487/04, C07H21/02, C12N15/113, C12N2310/14, C12N2310/312, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/343, C12N2310/344, C12N2310/346, C12N2310/351, C12N2310/3521, C12N2310/3533, C12N2320/32;89768318
US20260049312A1;20260219;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;COMPLEMENT COMPONENT C3 IRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=20260049312&KC=A1&FT=D;;;;A61K31/713, C12N15/113, C12N15/66, C12N2310/14, C12N2310/3125, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/343, C12N2310/351;73139474
EP4700124A2;20260225;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;OLIGONUCLEOTIDE-LIGAND CONJUGATES AND PROCESS FOR THEIR PREPARATION;https://worldwide.espacenet.com/publicationDetails/biblio?CC=EP&NR=4700124&KC=A2&FT=D;;;;A61K47/549, A61P1/16, A61P43/00, C07H21/00, C12N15/111, C12N15/113, C12N2310/14, C12N2310/351, C12N2320/30, C12N2320/32, C12N2330/30;51230239
US20260055413A1;20260226;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;REVERSIR MOLECULES AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=20260055413&KC=A1&FT=D;;;;A61K31/7125, A61K45/06, C12N15/111, C12N15/113, C12N15/1136, C12N2310/113, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/3231, C12N2310/3341, C12N2310/351;90368302
US20260055401A1;20260226;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;MODIFIED OLIGONUCLEOTIDES;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=20260055401&KC=A1&FT=D;;;;A61K31/713, C12N15/111, C12N15/113, C12N2310/323, C12N2310/344, C12N2320/51;75436777
WO2026050125A1;20260305;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC;METHODS AND COMPOSITIONS FOR TREATING AN ANGIOTENSINOGEN- (AGT-) ASSOCIATED DISORDER;https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2026050125&KC=A1&FT=D;;;;A61K31/713, C12N15/113, C12N2310/11, C12N2310/113, C12N2310/315, C12N2310/3231, C12N2310/3341, C12N2320/35;97268862
AU2026201782A1;20260402;ALNYLAM PHARMACEUTICALS INC | Alnylam Pharmaceuticals, Inc;Ketohexokinase (KHK) iRNA compositions and methods of use thereof;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2026201782&KC=A1&FT=D;;;;A61K31/7105, A61K31/713, A61P1/16, A61P13/12, A61P19/06, A61P29/00, A61P3/00, A61P3/04, A61P3/06, A61P3/10, A61P43/00, A61P9/00, A61P9/12, C12N15/1137, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/335, C12N2310/3515, C12Y207/01003;52573741
